DocumentName;Number_of_caracter;Area_of_letter;Area_of_word;Proportion_of_area_letter;Proportion_of_area_word;Proportion_of_area_letter2;Proportion_of_area_word2
Risques et pollution Programme immo  Clichy-36.jpeg;596;715990;1004672;0,029621251;0,041564325;0,03;0,04
Risques et pollution Programme immo  Clichy-37.jpeg;2306;3273880;4267620;0,135443819;0,176555876;0,14;0,18
Risques et pollution Programme immo  Clichy-38.jpeg;1819;2385539;3262372;0,098692228;0,134967721;0,1;0,13
Risques et pollution Programme immo  Clichy-39.jpeg;1719;2530321;3305366;0,10468201;0,136746428;0,1;0,14
Risques et pollution Programme immo  Clichy-4.jpeg;931;838427;1024149;0,034686597;0,042370109;0,03;0,04
Risques et pollution Programme immo  Clichy-5.jpeg;2131;3169566;3901937;0,13112824;0,16142719;0,13;0,16
Risques et pollution Programme immo  Clichy-6.jpeg;2200;3030091;3957516;0,125358015;0,163726551;0,13;0,16
Risques et pollution Programme immo  Clichy-7.jpeg;702;1128942;1416091;0,046705504;0,058585157;0,05;0,06
Risques et pollution Programme immo  Clichy-8.jpeg;2058;2962976;3138749;0,122581397;0,129853309;0,12;0,13
Risques et pollution Programme immo  Clichy-9.jpeg;4017;4539714;5906570;0,187812687;0,244360941;0,19;0,24
Risques et pollution programme immo Argenteuil-0.jpeg;2923;4460623;4753633;0,184540611;0,196662739;0,18;0,2
Risques et pollution programme immo Argenteuil-1.jpeg;931;7657078;7755474;0,316781277;0,320852022;0,32;0,32
Risques et pollution programme immo Argenteuil-10.jpeg;912;481478;617540;0,019919245;0,025548272;0,02;0,03
Risques et pollution programme immo Argenteuil-11.jpeg;4362;2021101;2368326;0,083615049;0,097980109;0,08;0,1
Risques et pollution programme immo Argenteuil-12.jpeg;3845;1653179;1821116;0,068393734;0,075341462;0,07;0,08
Risques et pollution programme immo Argenteuil-13.jpeg;2274;1040957;1296985;0,043065473;0,053657618;0,04;0,05
Risques et pollution programme immo Argenteuil-14.jpeg;2630;2423605;3068283;0,100267058;0,126938057;0,1;0,13
Risques et pollution programme immo Argenteuil-15.jpeg;2545;2451464;3234929;0,101419614;0,133832376;0,1;0,13
Risques et pollution programme immo Argenteuil-2.jpeg;2147;5365346;5075156;0,221969942;0,20996448;0,22;0,21
Risques et pollution programme immo Argenteuil-3.jpeg;938;7322007;7448421;0,302919041;0,30814892;0,3;0,31
Risques et pollution programme immo Argenteuil-4.jpeg;2801;8761774;8824097;0,362483699;0,365062066;0,36;0,37
Risques et pollution programme immo Argenteuil-5.jpeg;3794;12942112;13490848;0,535428628;0,558130406;0,54;0,56
Risques et pollution programme immo Argenteuil-6.jpeg;1039;2336086;2277578;0,096646306;0,09422577;0,1;0,09
Risques et pollution programme immo Argenteuil-7.jpeg;3161;1697195;2017902;0,070214721;0,083482703;0,07;0,08
Risques et pollution programme immo Argenteuil-8.jpeg;4368;2214578;2836118;0,091619394;0,11733315;0,09;0,12
Risques et pollution programme immo Argenteuil-9.jpeg;1936;5990301;6198517;0,24782498;0,256439092;0,25;0,26
Risques et pollution programme immo Gardenia (1)-0.jpeg;2636;3277346;5068996;0,135587211;0,209709634;0,14;0,21
Risques et pollution programme immo Gardenia (1)-1.jpeg;1718;684726;918652;0,028327826;0,038005588;0,03;0,04
Risques et pollution programme immo Gardenia (1)-2.jpeg;4929;3054511;3270359;0,126368295;0,135298152;0,13;0,14
Risques et pollution programme immo Gardenia (1)-5.jpeg;4379;2752602;3065870;0,113878006;0,126838229;0,11;0,13
Risques et pollution programme immo Gardenia (1)-6.jpeg;3114;1701459;1928020;0,070391128;0,079764192;0,07;0,08
Risques et pollution programme immo Gardenia (1)-7.jpeg;2484;2855346;3457238;0,118128632;0,14302953;0,12;0,14
Risques et pollution programme immo Gardenia (1)-8.jpeg;2451;2486010;3251034;0,102848818;0,134498656;0,1;0,13
